,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
param_comp_attack_ms,-0.02062519512602544,0.05403171055800229,-0.027984606694619205,-0.03027544783688535,0.01929158186923302,-0.01850183511048617,0.004126208592804222,0.03447257315711105,-0.07161271619242277,-0.10577464563624298,-0.028586401354970772,0.05550935013748026,-0.14389181054509687,0.017396142101347448,0.08613855588081673,0.0007176671506747001,-0.09304117287055154,-0.08829977233974395,0.0072732771933775656,-0.09110852157013336
param_comp_release_ms,-0.06395626163704306,-0.06722391344207074,-0.04938860919875368,0.11824351933337295,0.0012253451636376478,-0.011260901781136007,0.14090347317914914,-0.09615444219744274,-0.017262307217389417,-0.05472845985336902,-0.05809582265047852,0.06518350935362066,-0.021553883446646098,-0.038644793020809295,0.11078565822224405,-0.06412724688338803,-0.09181618604224051,-0.1711639397380136,0.005185501243512802,0.11209145739024343
param_comp_threshold_db,-0.05468615034736521,0.03301385825771016,-0.09493204325374627,-0.09698511566871523,-0.011559991328786018,-0.11960324785778802,-0.19634383747638423,-0.222448912747093,0.017699451763401153,-0.036887832045869706,0.10455054265027507,0.34279662085059737,0.2564738744517619,-0.1510690141836727,0.13980631676214006,-0.011992609729144732,-0.0976220223865548,0.07429852425744639,0.013688354583582495,0.11526001886682702
param_delay_dry_wet,0.23321600546067164,0.07558196156100475,-0.057404243027319515,0.014598263165797997,-0.07406281438330707,-0.09538433648051257,-0.017920706159929856,-0.015335581512790741,0.02555360416347616,-0.026660690568402368,-0.01864530907112948,-0.03295042289450151,-0.09605593990670572,0.00023306943546961417,0.008781633902836676,-0.022673409033064806,-0.15228557630571768,-0.006292555896210278,-0.10725471071503362,0.11868105574978216
param_delay_feedback,0.22081087900126659,0.08183134051617012,-0.06775890607047592,0.08558366165832314,-0.07073517666282572,-0.07225248968826495,0.027493188517281053,-0.01700348660770601,-0.02059507541528971,-0.02557890603850071,0.02118669128984734,-0.03604994612749213,0.022531549674624056,-0.01431986669986663,-0.006523672211056986,-0.09646181525174609,-0.017059553666931085,-0.028352623450894697,-0.10151100244285273,0.09767637469949306
param_delay_highcut_hz,-0.03551086907599999,0.04375688549169685,-0.07759134948702395,-0.09328305187261544,0.004390831279683694,-0.14043934106026548,-0.19272847203589472,-0.22338843626712795,0.02778635073677166,-0.032050771354481644,0.10268057782863971,0.3304336820461227,0.23544448328899162,-0.16753022884312305,0.15996654428284374,0.005020817517178325,-0.10295915962064014,0.08269825887512605,0.0064595176278245126,0.11153301770440838
param_delay_lowcut_hz,-0.030037749553084473,0.040160548034787164,-0.06560698745572666,-0.04886276579862177,-0.0017764290728107968,-0.0143700867767428,-0.006132896773475893,-0.14260385892933297,0.04352317479889506,-0.036548484805853265,-0.05044091856063199,0.1518797845289937,-0.09618568378596375,0.015586835266346421,-0.07165287352296573,-0.09199227828818199,-0.19586326605618434,-0.03574972484296346,-0.12263098200658265,-0.057586446326731516
param_delay_smear,0.01621127101407785,0.03446954281034874,-0.040491923523024796,0.09353624069449995,-0.1910753693592093,0.05898247300813319,-0.13200211485691973,0.12053497864981205,-0.005361767374903091,-0.10319941428178415,0.08509199976377771,0.006677296516425957,-0.10677666717573543,0.12665055662381408,-0.06989172883002992,-0.003755333693496052,-0.05473413256181922,-0.047726823538227714,0.05774387192023139,0.14232434143450567
param_delay_spread,0.205676136931797,-0.051949843461782184,0.01834686627424473,-0.023160856355977474,0.0590258321549648,-0.14490451680186786,-0.00684563620423001,-0.026275068113885247,-0.09589883684594772,-0.03402850365407062,-0.03646374594172157,-0.043200386336645316,0.07494635654347133,0.01534442532546576,-0.011852005906019952,0.06515629399107811,0.013034648256050482,-0.0695985441347558,-0.09063545198335009,-0.11640620773748189
param_delay_width,0.2214482112518237,0.10606159315143984,0.022979990156212094,-0.0016210028480824923,-0.0943487715711297,-0.09600206020579136,-0.0852971461509997,0.06671368152024848,0.0047539892651345395,0.05804990521490411,0.07259913867929563,-0.052070193803584186,-0.0657263154193201,-0.045635414349143755,-0.07551855295346574,0.0013546292517625242,0.08364420417515395,0.013856617542750554,0.012382538243818436,-0.022490788768072395
