id,name,kind,midi_note,note_label,d_brightness,d_depth,d_hardness,d_roughness,d_warmth,d_sharpness,d_boominess,stored_a4_brightness,stored_a4_depth,stored_a4_hardness,stored_a4_roughness,stored_a4_warmth,stored_a4_sharpness,stored_a4_boominess
15a3ff2f,Preset,random,45,A2,78.337652639706,41.656703817256385,78.53013868583895,80.48634675148418,22.371463405880483,65.60287449331345,13.468560814159542,84.4421452961381,35.73874458458867,79.26713218098902,84.1519012592181,20.330127179395525,70.77706623197798,20.69694955728098
15a3ff2f,Preset,random,57,A3,80.57748970012652,29.519851648787714,81.8661327491775,81.75899413081737,21.156006776620018,68.12946291265384,17.999825644148338,84.4421452961381,35.73874458458867,79.26713218098902,84.1519012592181,20.330127179395525,70.77706623197798,20.69694955728098
15a3ff2f,Preset,random,69,A4,84.39759650176268,40.53458328866457,80.88192827504847,84.22528606149137,20.268962799519947,70.7632532489142,21.603838735311395,84.4421452961381,35.73874458458867,79.26713218098902,84.1519012592181,20.330127179395525,70.77706623197798,20.69694955728098
15a3ff2f,Preset,random,81,A5,85.7101297428103,41.59221794113749,77.46030125806172,84.68116657899591,21.253774542368436,72.57122504117439,21.750343943006943,84.4421452961381,35.73874458458867,79.26713218098902,84.1519012592181,20.330127179395525,70.77706623197798,20.69694955728098
15a3ff2f,Preset,random,93,A6,86.50863026947029,40.80580065179259,81.44515174909174,84.27086818587183,23.247680832069715,75.04423760418143,23.066390502589858,84.4421452961381,35.73874458458867,79.26713218098902,84.1519012592181,20.330127179395525,70.77706623197798,20.69694955728098
bf613860,Preset,random,45,A2,19.58985820349679,73.7025674756077,34.22471850088914,26.956685328132576,66.06233788232277,46.54738902758825,43.17331709150612,25.9403686672807,75.02745618549945,40.87474654313294,26.084950886425307,65.27962394322486,40.05660610715089,45.03799524259815
bf613860,Preset,random,57,A3,25.11396189335872,72.54743014270406,37.189449752532255,23.501386699999838,61.11691587662216,49.69515655165318,38.24645577247424,25.9403686672807,75.02745618549945,40.87474654313294,26.084950886425307,65.27962394322486,40.05660610715089,45.03799524259815
bf613860,Preset,random,69,A4,24.425194106256868,76.39421741333392,36.22319968188923,0.0,63.15838044500952,48.488471190195945,39.44103242022244,25.9403686672807,75.02745618549945,40.87474654313294,26.084950886425307,65.27962394322486,40.05660610715089,45.03799524259815
bf613860,Preset,random,81,A5,24.537086892609757,75.1340694649152,36.98479880987209,0.0,62.22251025593297,45.57780619958531,43.70799556015291,25.9403686672807,75.02745618549945,40.87474654313294,26.084950886425307,65.27962394322486,40.05660610715089,45.03799524259815
bf613860,Preset,random,93,A6,22.348503072137348,78.58249723485264,39.867530807094795,0.0,62.86871427342797,49.15027977205618,38.8170458716839,25.9403686672807,75.02745618549945,40.87474654313294,26.084950886425307,65.27962394322486,40.05660610715089,45.03799524259815
a7cc387f,Preset,random,45,A2,26.94338653692268,70.42645082855148,45.23380624755157,26.66427270645284,65.91400453319494,47.51722515596799,38.679120990593916,-1.0225975948387607,73.01264272501845,11.556286917894539,31.937634712662017,60.41245192046459,36.824646144492355,52.86252902248228
a7cc387f,Preset,random,57,A3,15.108494264974581,77.46389172350264,34.807278718414594,0.0,64.08460718466999,46.899761302027414,39.848646355017976,-1.0225975948387607,73.01264272501845,11.556286917894539,31.937634712662017,60.41245192046459,36.824646144492355,52.86252902248228
a7cc387f,Preset,random,69,A4,-15.18046467651466,74.68430872090411,23.628565369088363,0.0,60.72894214628764,38.24449869014843,52.35921393053452,-1.0225975948387607,73.01264272501845,11.556286917894539,31.937634712662017,60.41245192046459,36.824646144492355,52.86252902248228
a7cc387f,Preset,random,81,A5,-2.3511804253743875,75.45648018415798,19.550173830525083,40.99271682154916,59.26694186171449,24.442239521460973,58.46623582042625,-1.0225975948387607,73.01264272501845,11.556286917894539,31.937634712662017,60.41245192046459,36.824646144492355,52.86252902248228
a7cc387f,Preset,random,93,A6,18.838379941406707,70.94648753689496,37.14559964577079,39.008090751009576,64.56413784794574,30.568691945134017,52.679876819850264,-1.0225975948387607,73.01264272501845,11.556286917894539,31.937634712662017,60.41245192046459,36.824646144492355,52.86252902248228
d735c14a,Preset,random,45,A2,60.06703916953421,66.07002613095142,64.71756532817184,65.0352114794832,49.86217855464349,52.4756611753738,34.591384633072025,60.241113853607686,38.84962699657939,72.38735694407347,61.219079763335685,34.39611952154495,53.108177595024216,20.168166679176323
d735c14a,Preset,random,57,A3,64.14333588093864,48.86732270207091,74.98954540936981,73.46494239130872,35.986997035154985,54.69405103352146,24.317523036550106,60.241113853607686,38.84962699657939,72.38735694407347,61.219079763335685,34.39611952154495,53.108177595024216,20.168166679176323
d735c14a,Preset,random,69,A4,64.86200719618907,44.8800662170448,76.21636488966698,69.48242573274923,36.24527180865095,56.26375278301663,23.550602694793714,60.241113853607686,38.84962699657939,72.38735694407347,61.219079763335685,34.39611952154495,53.108177595024216,20.168166679176323
d735c14a,Preset,random,81,A5,70.20127879081774,28.654492432019744,73.81101142434159,64.62758604291318,21.97650134717072,61.13426961732149,-0.17339230554991758,60.241113853607686,38.84962699657939,72.38735694407347,61.219079763335685,34.39611952154495,53.108177595024216,20.168166679176323
d735c14a,Preset,random,93,A6,70.89063598203082,17.831609815724924,76.4824510999614,52.41219663849237,19.511959496896182,66.0633652006258,2.1621902925422454,60.241113853607686,38.84962699657939,72.38735694407347,61.219079763335685,34.39611952154495,53.108177595024216,20.168166679176323
2cd77ea1,Preset,random,45,A2,76.27766684225537,44.389814376533806,73.3861724037921,79.97525351391982,33.329100347067836,64.37367083886276,20.594188378764585,83.46693801113976,37.98787603516165,80.66011272376105,85.10083053365247,24.929280205481607,71.74381732725189,17.637111783164244
2cd77ea1,Preset,random,57,A3,80.33466226345857,39.3715232875587,81.2424491640117,84.1258068349449,28.660075000408153,68.85889512381908,17.207623450924554,83.46693801113976,37.98787603516165,80.66011272376105,85.10083053365247,24.929280205481607,71.74381732725189,17.637111783164244
2cd77ea1,Preset,random,69,A4,83.32918661766173,39.227099902436514,80.21956074477728,85.03246181593181,25.076442978262815,71.46219332398341,17.244544019753302,83.46693801113976,37.98787603516165,80.66011272376105,85.10083053365247,24.929280205481607,71.74381732725189,17.637111783164244
2cd77ea1,Preset,random,81,A5,85.57679442133963,41.242351865507956,83.00826951148969,85.96328561525826,21.22612304941022,73.30982684102398,16.639997160296247,83.46693801113976,37.98787603516165,80.66011272376105,85.10083053365247,24.929280205481607,71.74381732725189,17.637111783164244
2cd77ea1,Preset,random,93,A6,86.88364784757596,34.41990705099225,83.28955910748999,86.13709800649282,19.357923284753515,74.14617477015403,16.942679743678006,83.46693801113976,37.98787603516165,80.66011272376105,85.10083053365247,24.929280205481607,71.74381732725189,17.637111783164244
033d7c94,Preset,random,45,A2,28.57350004288503,42.95161069326696,35.45400405184566,40.468523103329225,53.29240978696791,18.006545189506127,27.931702958193636,67.85029584688219,11.544744139816949,49.189033667685436,32.562674503808005,31.304536340031923,48.36460678993476,-1.366543500308282
033d7c94,Preset,random,57,A3,48.54826999937353,19.609634571999678,45.02987387292805,34.23625438112557,45.72891508251784,34.34131440555226,23.248073085970148,67.85029584688219,11.544744139816949,49.189033667685436,32.562674503808005,31.304536340031923,48.36460678993476,-1.366543500308282
033d7c94,Preset,random,69,A4,67.81222338083639,20.307696453511255,49.47499878135994,39.46305466866685,30.962782786720357,48.08174356802246,-5.394789976132515,67.85029584688219,11.544744139816949,49.189033667685436,32.562674503808005,31.304536340031923,48.36460678993476,-1.366543500308282
033d7c94,Preset,random,81,A5,78.39764153934141,18.617760032535323,47.82859900756495,35.364778171882676,18.86287743276085,70.29397450343066,-18.876811011966673,67.85029584688219,11.544744139816949,49.189033667685436,32.562674503808005,31.304536340031923,48.36460678993476,-1.366543500308282
033d7c94,Preset,random,93,A6,84.23668602656839,11.39224551008028,61.122143104682465,51.45450620358053,21.38988692304867,94.43764021564735,0.8102047114947197,67.85029584688219,11.544744139816949,49.189033667685436,32.562674503808005,31.304536340031923,48.36460678993476,-1.366543500308282
aa570287,Preset,random,45,A2,71.43986569020004,35.5533220589633,82.41123937675144,75.5700050946223,27.712284133676427,60.70311617149621,12.069890650236225,73.44260250010919,23.725071841383418,73.91470539121963,71.21268385238417,18.11647495864107,63.97086410694018,-3.5657165977291
aa570287,Preset,random,57,A3,70.79801996959672,29.733577809798625,72.37353022705705,73.72849005417977,23.232492852830067,60.494411412862604,10.883300753457519,73.44260250010919,23.725071841383418,73.91470539121963,71.21268385238417,18.11647495864107,63.97086410694018,-3.5657165977291
aa570287,Preset,random,69,A4,72.61689055677749,24.276664195421276,70.09587231136939,68.64721186685232,19.14012611891319,63.20425648504978,2.6143041109315917,73.44260250010919,23.725071841383418,73.91470539121963,71.21268385238417,18.11647495864107,63.97086410694018,-3.5657165977291
aa570287,Preset,random,81,A5,75.72109141677882,16.68408352356559,68.45871848047446,70.96668671457175,16.269573279765325,68.63496580081673,-1.9311286973748523,73.44260250010919,23.725071841383418,73.91470539121963,71.21268385238417,18.11647495864107,63.97086410694018,-3.5657165977291
aa570287,Preset,random,93,A6,80.21786039792278,9.662701581667129,69.77452248327359,65.17472188223034,14.470364098808247,75.53894772777844,-20.036549509406328,73.44260250010919,23.725071841383418,73.91470539121963,71.21268385238417,18.11647495864107,63.97086410694018,-3.5657165977291
9fcebfa2,Preset,random,45,A2,86.25150212820621,29.489497765635022,85.42133479961353,70.48738978338126,15.300022088393654,73.66331524689275,20.251030406271667,84.50304024412769,18.515860364692593,87.36718103376174,69.79317885754752,12.210758904149223,74.56644724533783,7.620472388188325
9fcebfa2,Preset,random,57,A3,85.59934493001234,24.563003237455533,84.0560877642188,70.90088173788091,13.6549592011423,74.22894137848303,4.8769820257397285,84.50304024412769,18.515860364692593,87.36718103376174,69.79317885754752,12.210758904149223,74.56644724533783,7.620472388188325
9fcebfa2,Preset,random,69,A4,84.61848923669675,18.45584113593565,87.32803305444546,69.54164328344872,12.715168264634286,74.52379650161214,8.629630022547719,84.50304024412769,18.515860364692593,87.36718103376174,69.79317885754752,12.210758904149223,74.56644724533783,7.620472388188325
9fcebfa2,Preset,random,81,A5,84.29311547710634,13.428832747677369,85.46824413634593,67.31169449649244,12.363066872850915,77.77914323584253,1.2590684459057933,84.50304024412769,18.515860364692593,87.36718103376174,69.79317885754752,12.210758904149223,74.56644724533783,7.620472388188325
9fcebfa2,Preset,random,93,A6,85.14239532976835,7.645431370848584,82.87186182622548,66.44072423734663,12.815891102599153,81.64771856156577,8.071649090092066,84.50304024412769,18.515860364692593,87.36718103376174,69.79317885754752,12.210758904149223,74.56644724533783,7.620472388188325
c9eca102,Preset,random,45,A2,29.67454304490519,72.42071621689084,43.1718192127251,40.39347939069138,61.918161397703265,45.54604285247861,44.14712727785941,31.627355017237424,72.40686309629584,44.01903359820602,40.28411293394808,60.84952679919037,48.20793137110456,41.00209516570651
c9eca102,Preset,random,57,A3,29.67639407249727,75.9231036334467,51.15906372636499,33.523835204219566,65.32298960554849,48.65921005416296,40.063238784754574,31.627355017237424,72.40686309629584,44.01903359820602,40.28411293394808,60.84952679919037,48.20793137110456,41.00209516570651
c9eca102,Preset,random,69,A4,30.111520002337933,72.35073221574515,52.954464671332744,38.98191004259694,62.09548645998072,33.093810891332204,52.903512118995366,31.627355017237424,72.40686309629584,44.01903359820602,40.28411293394808,60.84952679919037,48.20793137110456,41.00209516570651
c9eca102,Preset,random,81,A5,33.244128895449904,72.80152128710446,65.92075303680991,29.51035915455,67.82496348071233,49.65951160470144,36.633837883467024,31.627355017237424,72.40686309629584,44.01903359820602,40.28411293394808,60.84952679919037,48.20793137110456,41.00209516570651
c9eca102,Preset,random,93,A6,37.82398799219975,70.50992430767442,64.88760239410891,0.0,68.71468275910946,46.96354142924378,38.146014508804264,31.627355017237424,72.40686309629584,44.01903359820602,40.28411293394808,60.84952679919037,48.20793137110456,41.00209516570651
0666d6b7,Preset,random,45,A2,10.863604658735412,66.58070946540299,1.4168406197120476,37.39315451444699,65.43665072224475,16.50619298527001,57.95032918716509,33.3752014797374,36.87095487809991,24.704239084816308,43.429565317218945,55.08794566279734,20.44138529040741,29.91211572878869
0666d6b7,Preset,random,57,A3,21.723957693989647,59.388508907931325,11.632367867778143,38.86880480707435,69.64002133619739,13.130985874297476,50.68389983892043,33.3752014797374,36.87095487809991,24.704239084816308,43.429565317218945,55.08794566279734,20.44138529040741,29.91211572878869
0666d6b7,Preset,random,69,A4,32.987432704583355,37.787976678304744,15.816748921868594,42.53310123838979,54.68859312634963,23.520303757236945,24.031154723504443,33.3752014797374,36.87095487809991,24.704239084816308,43.429565317218945,55.08794566279734,20.44138529040741,29.91211572878869
0666d6b7,Preset,random,81,A5,48.97394787943274,20.558682085701548,41.47861405523429,44.13102293730076,45.420814980340396,32.58129183812628,18.90792438384439,33.3752014797374,36.87095487809991,24.704239084816308,43.429565317218945,55.08794566279734,20.44138529040741,29.91211572878869
0666d6b7,Preset,random,93,A6,66.5754543910963,14.266532195538375,47.925868584005,48.96843376403634,37.40957561376719,48.211406977791604,5.355986116313275,33.3752014797374,36.87095487809991,24.704239084816308,43.429565317218945,55.08794566279734,20.44138529040741,29.91211572878869
eedc7778,Preset,random,45,A2,12.987209716792925,70.35081375502327,33.11399809859506,0.0,67.91744068619712,22.475263539284505,54.587939638850386,11.09193890808902,68.00029897758931,28.675479772033157,47.861637569281164,65.61108693128197,16.00340294122846,55.60478240533729
eedc7778,Preset,random,57,A3,11.1098751663151,75.64478626322382,26.687443590379388,36.18083177207188,67.47015513563103,18.08972363228383,55.20845131853032,11.09193890808902,68.00029897758931,28.675479772033157,47.861637569281164,65.61108693128197,16.00340294122846,55.60478240533729
eedc7778,Preset,random,69,A4,11.0455936107061,67.99868905623423,28.760548597534978,47.58486207418245,65.57961049958485,16.798472876348193,55.47562801281768,11.09193890808902,68.00029897758931,28.675479772033157,47.861637569281164,65.61108693128197,16.00340294122846,55.60478240533729
