id,name,kind,ac_brightness,ac_depth,ac_hardness,ac_roughness,ac_warmth,ac_sharpness,ac_boominess,feat_spectral_centroid,feat_spectral_rolloff_85,feat_spectral_bandwidth,feat_spectral_flatness,feat_low_band_ratio,feat_mid_band_ratio,feat_high_band_ratio,feat_zero_crossing_rate,feat_rms
197b043e,Preset,random,81.71937963204837,8.634762107183334,67.13821633182087,65.10168871983784,16.277501626166806,79.30535758223786,-13.767885187344021,5618.612619128765,8489.032192887931,3843.1687600053237,2.77373885637644e-07,0.00018412313767750396,0.281567031073334,0.5809293267368055,0.2577002514367816,0.0512755922973156
b226b361,Preset,random,32.70195991973861,72.35296192181407,51.10332514693525,28.90817206109352,67.9953249480731,49.71378908046195,36.56524501724452,14.739928827951312,44.056438577586206,34.316549244917276,2.069316495934004e-09,0.999845545205854,0.00013773590765269093,8.16931427804798e-06,0.00035919540229885057,0.8733196258544922
a2ef844c,Preset,random,70.39214311100618,17.182407243600856,65.62064094159962,52.26358903764445,22.96191360093556,58.43822960180839,6.05245388692083,504.8603783187871,709.3581627155172,368.3648154266854,4.395043440297286e-09,0.0941570941425437,0.8991270790532802,0.0007605061218668951,0.01903735632183908,0.07508832961320877
15a2762d,Preset,random,27.713388122598843,73.77339469083425,47.4805471104288,0.0,66.92215543305221,44.66469277081642,43.85022073403675,15.41926428057733,43.06640625,26.05796205692296,4.936607789218783e-10,0.9999799007313872,1.983636712669186e-05,2.4976394622812276e-08,0.0004489942528735632,0.4662158787250519
3a1309fe,Preset,random,79.04809549656918,47.06433557826392,74.76540929884575,73.77371607850768,34.5543793236111,68.49603648462258,22.42228368856598,2076.0963752523203,5013.028690732759,3130.802113695591,5.2307539590401575e-05,0.5332250269482893,0.23135184890696267,0.19446915470309695,0.1749506106321839,0.07278741151094437
64c37a4e,Preset,random,13.176508590836065,66.81682039182293,25.71247823076135,23.74371380802673,64.44659881789342,24.7390680757954,53.79779639129637,100.81834023099097,120.28892780172414,44.354256655176755,0.05785345658659935,0.9908402209607331,0.00915979457097109,8.228428790737688e-09,0.004299119971264368,0.08342336118221283
dea27c4a,Preset,random,55.33661335992112,18.11743016339981,34.95306431590731,0.0,36.13091501165511,42.40546376243401,15.69375764824495,813.3863064315613,855.3879310344828,191.65052813296236,9.062739003695697e-09,0.008353658589952353,0.9900333559361614,5.345135304216487e-05,0.03725529813218391,0.06829877942800522
110a9684,Preset,random,16.891518458186937,59.67682130683889,19.735895138487535,0.0,68.05559260362875,21.970936390822807,45.016073600552346,215.8572641780875,257.4084051724138,35.89251729296303,2.145504052197822e-10,0.7774655273891506,0.22253376647864465,3.2883258694369065e-07,0.009799299568965518,0.07759233564138412
c6ae2e71,Preset,random,26.156443450162442,71.8988800571301,30.736541603413144,40.75906767493584,61.22405660597676,42.18574052771184,47.9275477904723,46.289523092314056,86.62782866379311,36.49488358408264,2.909868790368364e-09,0.9998175611602148,0.00016494965953021452,8.654462235940322e-06,0.0021776221264367818,0.12289603054523468
bbd750bf,Preset,random,49.71669449911447,26.423884876431167,44.15688080287052,53.503369954949314,46.096959500533735,30.444965127866254,18.541302381959362,496.6602749516897,517.7869073275862,44.60325343417717,2.0193740013496608e-08,0.000460124878930574,0.9995384636564308,2.6305535492732348e-08,0.022000718390804596,0.07276039570569992
