id,name,kind,reason,ac_brightness,ac_depth,ac_hardness,ac_roughness,ac_warmth,ac_sharpness,ac_boominess
5496930e,Preset,random,contradictory_pair:brightness+boominess,77.22377213692823,62.13686476131271,57.07301006390449,48.54852483988462,43.51277935243749,68.70551529897182,50.41284841936427
50c2e50b,Preset,random,contradictory_pair:brightness+boominess,91.39872317598164,39.92320385991333,66.0814086098759,80.40390681466403,32.61628363685125,75.37565179843588,36.73909644570503
5667e1be,Preset,random,contradictory_pair:depth+sharpness,82.22889795421818,64.13949350231377,46.73762654351057,45.474819329039306,37.71139782741266,92.70939746218671,27.907979405463593
b6d3c913,Preset,random,contradictory_pair:depth+sharpness,80.41836125986057,61.03115095724938,50.61453607930645,36.83868860897804,37.98571917410318,83.71976245857029,32.470370095310145
df088bc2,Preset,random,contradictory_pair:depth+sharpness,80.66940164941433,67.87196847894015,64.96490096000628,52.96407883346697,37.17867792264984,75.50074089341484,34.824064646129536
df2e42d7,Preset,random,contradictory_pair:depth+sharpness,84.93441568830372,7.055544744518237,55.58669069595447,55.55425144748679,23.279241698462343,97.530297910643,-47.303129481363655
97b941a7,Preset,random,contradictory_pair:warmth+sharpness,86.78944384791559,7.015349146940103,71.17131342289281,52.811184092078875,29.728609531204505,96.99797247825596,19.25209487347672
934e3092,Preset,random,contradictory_pair:warmth+sharpness,88.49356511035337,25.154810820542345,66.49603107135329,79.22326368970043,36.13190333259395,95.26004375199544,-23.752614046764393
0d2d618a,Preset,random,contradictory_pair:warmth+sharpness,82.66119117043878,3.4987305711058525,64.33730593558298,54.239293466623735,20.5233439326868,93.84947890705084,-16.70929391047885
3329a33f,Preset,random,contradictory_pair:warmth+sharpness,86.7515753600289,7.407567308962172,77.85095328452115,85.73190650271167,22.218662260998283,93.8194862945575,-9.22161765245631
f650f74b,Preset,random,roughness:small_nonzero,60.425744736376785,18.47880145628475,51.526981863759886,21.00117365022267,31.076252801162457,46.84091821272736,13.818781457567846
7341b5dd,Preset,random,roughness:small_nonzero,40.93627321572855,54.0988045636973,49.27827683712309,21.01811901146162,55.421338951986506,28.618230311003355,46.676516623537744
a9dd2495,Preset,random,roughness:small_nonzero,43.30116596849539,24.098111784599222,42.111556928720816,21.02778793329597,44.51075136504148,26.852728694419973,17.210258276046808
2ae8fb1d,Preset,random,roughness:small_nonzero,55.39209625965661,40.96267782953876,53.5389668441112,21.02976946595396,39.391127706260754,36.77506654372847,36.09666961767336
71715238,Preset,random,roughness:very_high,86.85179282454445,23.04094934974073,83.45755329817644,87.78658784523164,19.908863533524737,77.87444925478283,-10.560399551736914
80b9aaaf,Preset,random,roughness:very_high,87.35983311475796,35.175307447475205,83.07624211386639,87.63603657436309,17.541090228657428,78.29376604445434,8.914742954298944
5fbcb96f,Preset,random,roughness:very_high,86.72426797517231,28.352175847755703,84.82481141722059,87.01767138133536,19.66069501343627,74.62948289207986,13.01141783289856
19c0f383,Preset,random,roughness:very_high,87.7998408424465,40.99524455981133,82.36378547420333,86.9835452378609,20.06132491700767,76.18667685034956,15.290942764520963
54497f37,Preset,random,extreme_zscore,15.227371283807138,66.96096770160595,10.058748273606469,26.633527705073224,56.76994943280759,-35.43719860316246,71.40575018590593
42ab5159,Preset,random,extreme_zscore,3.4882206292986737,72.59022420537764,11.638843568869902,36.29443504447221,56.3877628924256,-34.882255704039665,70.02102818721673
79e582ac,Preset,random,extreme_zscore,80.67594638153741,13.713508918163384,68.89875814688031,41.041288909691296,16.30101786492046,78.15937679126509,-49.659716123181326
5c8031d2,Preset,random,extreme_zscore,9.247152470746386,77.02172985982747,12.25654325832312,30.64392380007193,59.772108592513945,-32.54623176114606,71.71879000424411
e0fd5d1e,Preset,random,max_distance_from_factory,59.00690356339145,47.51525969687779,60.04161695050544,55.87205666085412,39.53508242848757,51.13934275292756,31.18257174993645
85a90c49,Preset,random,max_distance_from_factory,16.827278573130954,64.89144537344238,20.617363626579746,43.28979689224827,67.9127819149139,28.525293921845595,52.76161595651568
5090f836,Preset,random,max_distance_from_factory,28.180671190978227,63.01549732001268,35.337786438324784,39.72954180792141,63.20950588424924,19.13713734750358,46.58871908385579
a7b3a997,Preset,random,max_distance_from_factory,22.95221091423648,74.20260492877185,31.351778488895206,0.0,59.51670409676301,-8.62086392501422,55.93646678130271
